hex_id,registered_population,registered_senior_population,demand_index_final,access_cost_m0,access_cost_m3,official_400m_ok_m0,vulnerable_m3_final,hidden_vulnerable_final,access_cost_m4_ref_min,senior_hidden_robust,district_name,admin_name,admin_code
8930e1d1063ffff,1828.9388586108441,346.0145449622226,0.1378407723290549,464.5644235358309,567.5171630395889,False,True,False,9.699445121231829,False,은평구,진관동,11120710
8930e1d1213ffff,2281.4267987908015,612.654074734844,0.24549477083903126,273.1385630087957,326.1716123685661,True,True,True,5.371370205167034,True,은평구,불광2동,11120720
8930e1d121bffff,2281.3783803254573,612.6410724460566,0.2519051481199317,314.9595726519014,394.93526193177576,True,True,True,7.001103398585158,True,은평구,불광2동,11120720
8930e1d1233ffff,1886.918150416302,380.2137730847386,0.16116157731035455,633.9294739419307,741.0226721890267,False,True,False,13.007388743247995,False,은평구,진관동,11120710
8930e1d1243ffff,2503.2939961940056,605.7148351333,0.302232596354913,257.64453373835835,298.21190491973914,True,True,True,5.1447684941798775,True,은평구,불광1동,11120520
8930e1d1247ffff,2456.569270899152,607.2218444240706,0.23152336914758334,196.17174062324014,297.2936152357384,True,True,True,4.833761023990804,True,은평구,불광1동,11120520
8930e1d124bffff,2562.2325945092366,598.3692020254778,0.28484603766281746,359.30451024148203,421.79816805035176,True,True,True,7.4553869814295615,True,은평구,불광1동,11120520
8930e1d124fffff,2503.4414771071674,605.7505206648983,0.24401768525776282,657.08894166327,828.2234156922196,False,True,False,13.38941337809784,False,은평구,불광1동,11120520
8930e1d1263ffff,2503.8428457723303,605.8476386842826,0.2980147662894309,265.67045029140735,348.98511265521097,True,True,True,6.179709373043779,True,은평구,불광1동,11120520
8930e1d12c7ffff,2281.243953339517,612.6049734396214,0.30673493130283114,323.0120793140139,445.4840968124341,True,True,True,6.846092492068208,True,은평구,불광2동,11120720
8930e1d12cfffff,2281.1955334597897,612.5919707710157,0.19972320915490213,328.571838047451,473.9251541368404,True,True,True,7.833509097851523,True,은평구,불광2동,11120720
8930e1d13b7ffff,1829.7797323941277,346.17362877091506,0.12134406238502946,1323.9698522052245,1685.60995838696,False,True,False,27.300060131509507,False,은평구,진관동,11120710
8930e1d1633ffff,1828.0293717139275,345.8424803285121,0.1842722388717844,412.24905895019714,442.97906696845985,False,True,False,8.205809219048541,False,은평구,진관동,11120710
8930e1d16afffff,1828.0680945248446,345.84980624634477,0.19772145444574107,496.0181319605932,532.6833672540508,False,True,False,9.802466571045802,False,은평구,진관동,11120710
8930e1d1937ffff,2017.5656435390486,579.5628702790191,0.18896460999842113,284.86861507220004,330.44773984635145,True,False,False,5.5950341151171,True,강북구,우이동,11090740
8930e1d1b67ffff,1991.53237503905,521.7804792220165,0.17233764238400098,348.42184637524133,453.125612640455,True,True,True,6.910225859766321,True,강북구,수유1동,11090630
8930e1d1b8fffff,1910.4264269956698,547.6816309971553,0.16366399766909123,330.11287493918616,475.6722938256986,True,True,True,7.385324093584423,True,강북구,인수동,11090750
8930e1d1ba3ffff,1898.2009244927458,543.5732918886071,0.18610191283346636,270.8757985568565,326.27171671917665,True,False,False,5.782607753921124,True,강북구,인수동,11090750
8930e1d5243ffff,2667.835930431428,637.6834396845178,0.26151383138696194,334.4057818982458,382.607334458491,True,True,True,6.610830369205452,True,노원구,상계1동,11110650
8930e1d5293ffff,2387.4027747910445,596.2237150290898,0.23817562323945748,268.0223785516086,292.34117110681126,True,True,True,5.355949138746894,True,노원구,상계1동,11110650
8930e1d52c7ffff,2396.8815535772087,598.5909204129072,0.2707826131481379,261.20597454724543,290.56358828004556,True,True,True,5.1541570638530745,True,노원구,상계1동,11110650
8930e1d52cbffff,2396.6388935420496,598.5303191313893,0.3027531297133985,340.8686611389733,376.36735296876424,True,True,True,6.949371442589708,True,노원구,상계1동,11110650
8930e1d52dbffff,2384.497912048577,603.7038509707777,0.23747498559393593,314.9789820650766,340.0756144828609,True,True,True,6.301584421934716,True,노원구,상계1동,11110650
8930e1d536bffff,1682.7866117904373,453.3072112828894,0.1405322182710703,552.7955606816679,631.3715576431598,False,True,False,10.927006431878507,False,노원구,상계3·4동,11110760
8930e1d561bffff,1536.3565900782726,526.2588747675143,0.15340286775296044,408.99337537974907,465.55475990646585,False,True,False,8.72485894877271,False,도봉구,도봉1동,11100640
8930e1d564fffff,1536.3824936120895,526.2677476845487,0.19162648787608624,294.57414150907465,319.3610488708067,True,False,False,5.892567830068854,True,도봉구,도봉1동,11100640
8930e1d566fffff,2288.667838646643,645.3717162982272,0.24079080279754014,210.9234736355486,234.61555044333306,True,False,False,4.232210479197963,True,도봉구,도봉2동,11100650
8930e1d5673ffff,2066.6779178009097,641.9532633330965,0.2889676415214479,385.45482547112374,415.71265118403556,True,True,True,7.566335462951688,True,도봉구,도봉2동,11100650
8930e1d8023ffff,2811.7107135712668,377.02995097905887,0.18894786782262268,462.0031988246948,620.3316334984582,False,True,False,9.842629069925648,False,마포구,염리동,11140610
8930e1d802bffff,2633.9028999362627,348.4597658144077,0.16579961498669632,576.143702908121,713.1514006698159,False,True,False,11.34404270382831,False,마포구,염리동,11140610
8930e1d802fffff,3271.2218797876612,450.8640116144066,0.253629602500471,453.4917877108682,588.093212237663,False,True,False,9.195424727644767,False,마포구,아현동,11140780
8930e1d8103ffff,2250.713705381718,410.6257638390645,0.2438489579494897,267.3220440336021,423.5112395447635,True,True,True,6.849914009747316,True,서대문구,충현동,11130730
8930e1d8147ffff,3581.230461931619,654.258520733564,0.2942288213980152,326.73829886210416,417.0763698959877,True,True,True,6.694582774462294,True,마포구,공덕동,11140770
8930e1d814fffff,3591.743715353191,664.8763742893486,0.2641482331700204,215.64981067081712,287.5546317568246,True,True,True,4.512458351544529,True,마포구,공덕동,11140770
8930e1d815bffff,3412.833810184561,473.6135129265797,0.26618044325403056,334.536496962147,420.9533197743892,True,True,True,6.743447921799029,True,마포구,아현동,11140780
8930e1d8167ffff,2616.437370627758,497.68185895345414,0.2375123577163922,283.17868787143976,347.3460107883849,True,True,True,6.2092919315836195,True,중구,중림동,11020680
8930e1d8177ffff,2662.5303531996187,506.4109604012386,0.24324254849209245,277.4005553999275,360.3597761804049,True,True,True,6.130895387913022,True,중구,중림동,11020680
