hex_id,analysis_valid_final,access_cost_m0,access_cost_m3,cost_m3_norm_final,demand_norm_final,demand_index_final,vulnerability_m3_final,vulnerability_threshold_final,official_400m_ok_m0,hidden_vulnerable_final,registered_population,registered_senior_population,registered_senior_share,poi_total_count,baseline_minmax_product_hidden,winsorize_1_99_product_hidden,log1p_product_hidden,rank_product_hidden,additive_minmax_hidden,delta_cost_m3_minus_m0,delta_pct_m3_over_m0,any_normalization_hidden_flag,robust_core_hidden_flag,variant_hidden_count,normalization_sensitive_flag,district_name,admin_name,admin_code
8930e036d07ffff,True,198.58752726995164,224.10883553944538,0.05431374738723188,0.4913498297902286,0.2639136335926173,0.02668705053398586,0.028838610230807495,True,False,3143.976615486752,532.2376170899211,0.16928803301786638,224,False,False,True,True,False,25.521308269493744,0.12851415504459723,True,False,2,True,,,
8930e036d0bffff,True,195.949007591952,218.2849265044553,0.05290229779680736,0.5071017336202619,0.27208752149864424,0.026826846925256373,0.028838610230807495,True,False,1905.582859593866,245.73612065396398,0.12895588319173765,445,False,False,True,True,False,22.335918912503303,0.11398842580012475,True,False,2,True,,,
8930e036d0fffff,True,101.43939270565537,111.99995779063406,0.02714367508170127,0.5527236638962647,0.29576139280692487,0.015002951542767668,0.028838610230807495,True,False,2887.5969372909917,473.86239680454605,0.16410268022001076,233,False,False,True,False,True,10.560565084978691,0.10410714026672133,True,False,1,True,,,
8930e036d13ffff,True,303.9065515212768,368.21761660068734,0.08923913492048939,0.609123350649241,0.32502799590634734,0.05435764087180818,0.028838610230807495,True,True,2937.771690523214,499.98614348327783,0.1701923076923077,64,True,True,True,True,True,64.31106507941053,0.2116146057315518,True,True,4,False,관악구,중앙동,11210610.0
8930e036d17ffff,True,130.51290734024104,167.99656748420279,0.040714696081908995,0.5447615460158018,0.2916297361036006,0.022179800783144254,0.028838610230807495,True,False,3249.2895241725905,593.8433153378206,0.18276097310504788,128,False,False,True,False,True,37.48366014396174,0.28720270590742103,True,False,1,True,,,
8930e036d1bffff,True,140.35800397107215,155.81144887294403,0.037761579786684304,0.622968454780236,0.3322124182107961,0.023524273009771314,0.028838610230807495,True,False,2934.6483059091634,461.2923979669566,0.15718830670036515,453,False,False,True,False,True,15.453444901871876,0.11010020422530972,True,False,1,True,,,
8930e036d3bffff,True,357.96601499578253,478.7728435099395,0.11603267321287117,0.48962011068564987,0.2630160576410182,0.05681193030163782,0.028838610230807495,True,True,3150.407404762511,533.2456307066287,0.16926243567753,33,True,True,True,True,True,120.80682851415696,0.33748127881799134,True,True,4,False,관악구,행운동,11210570.0
8930e036d53ffff,True,210.7535520595567,286.2133670667747,0.06936504971031249,0.47430358701801417,0.25506809472046266,0.03290009189128408,0.028838610230807495,True,True,2931.6146578814955,425.29926655052884,0.1450733865745737,42,True,True,True,True,False,75.459815007218,0.35804765456998733,True,True,4,False,관악구,청룡동,11210800.0
8930e036d83ffff,True,184.8955125689433,254.45177140400978,0.06166748937410173,0.7954639191043907,0.42172277866610886,0.04905426277885133,0.028838610230807495,True,True,4365.118349643684,930.187324975931,0.21309555674518202,95,True,True,True,True,True,69.55625883506647,0.3761922497125534,True,True,4,False,관악구,성현동,11210790.0
8930e036d87ffff,True,91.00200055780712,123.77829936984031,0.0299982072005875,0.7354408569918158,0.3905759543343582,0.02206190721181813,0.028838610230807495,True,False,4365.468749983244,930.2619937313732,0.213095556745182,25,False,False,True,False,True,32.77629881203319,0.3601711897664572,True,False,1,True,,,
