district_name,admin_name,admin_code,candidate_hex_count,robust_core_hidden_count,normalization_sensitive_count,registered_population_sum,registered_senior_population_sum,mean_delta_cost_m3_minus_m0,p90_delta_cost_m3_minus_m0,mean_delta_pct_m3_over_m0
종로구,창신2동,11010680.0,2,1,1,4887.099535132362,1192.5727377907747,111.17119487425973,152.39314992017643,0.4319518169018564
성북구,장위1동,11080760.0,2,1,1,5671.381262580092,1176.4263685568362,42.979588810690345,55.91518124152254,0.16581161246830248
중구,신당5동,11020650.0,2,1,1,5808.884541508756,1157.4941193749135,125.92818892982083,146.5384819303341,0.3898785711495806
관악구,미성동,11210830.0,2,1,1,4663.160407590963,1085.6939768445004,67.9248594987075,97.97507448773281,0.22038318389543932
강서구,화곡4동,11160590.0,2,1,1,4575.79901559821,1083.8114827404738,30.607756192881695,32.347609519039985,0.10235547197744137
은평구,갈현2동,11120560.0,2,1,1,4703.766598728838,1075.0929512392852,83.88929607654806,107.09286481166701,0.3559531581157907
서대문구,홍제1동,11130620.0,2,1,1,4679.144610499437,1057.621058163424,71.99190960288371,83.44978836063639,0.22634210368992683
영등포구,도림동,11190750.0,2,1,1,5108.148369797641,1052.4329742944126,24.006737869294426,28.148352035758176,0.09685500824195634
노원구,상계2동,11110660.0,2,1,1,4674.7092602088715,1039.1345881590025,19.470258922779834,22.81004323853901,0.08738424689005071
성동구,왕십리도선동,11040710.0,2,1,1,5720.706478184803,989.9196616031093,26.188828805602455,32.249843160295576,0.11331418361490003
송파구,가락2동,11240670.0,2,1,1,5514.453323169797,957.0457562828079,29.301120899605337,32.33177333514362,0.10176583913702772
동대문구,전농1동,11060830.0,2,1,1,4497.718785176244,891.6810072960448,33.19535453353268,33.27802436721007,0.11050792591030263
동작구,흑석동,11200710.0,2,1,1,4950.598156886566,878.969245859816,87.14012731429459,130.3205474938158,0.3744573614969687
송파구,장지동,11240810.0,2,1,1,4929.8951753529145,873.9818947584026,26.374192205751115,30.317604161665667,0.10333289509078339
강서구,염창동,11160510.0,2,1,1,6383.947287994419,868.4779624106591,29.04945051664015,32.168451920432496,0.09459097202243597
관악구,조원동,11210720.0,2,1,1,4891.600008387363,840.7415565548049,32.90874490937091,42.02786028017387,0.11374768175944897
서초구,방배4동,11220650.0,2,1,1,4569.031296564922,826.2681682471447,42.91078422123067,64.96380287754914,0.13760227521148433
용산구,후암동,11030510.0,2,1,1,3952.1031840314627,819.4701163809962,136.79660601330446,140.48913911294326,0.417258503470282
강남구,일원본동,11230720.0,2,1,1,4516.052706630393,791.1494803584862,31.205838142152075,32.693103014961984,0.1147716683791904
동작구,노량진1동,11200720.0,2,1,1,3985.5458305964135,778.0181832314952,72.3581519036866,99.52949536477081,0.24333010754267548
강동구,암사2동,11250580.0,2,1,1,3601.1543692694563,730.9858065648071,24.358664722366868,26.92900421191433,0.08548683308071901
광진구,구의2동,11050610.0,2,1,1,3838.3636584579745,716.9983773674547,59.00265056047694,85.44432840562659,0.17557841532142482
강남구,삼성2동,11230590.0,2,1,1,5089.7318405670485,700.5899560040943,38.22264320234389,55.25279550702574,0.14740119430252818
강동구,고덕2동,11250560.0,2,1,1,4071.7971018604035,615.71715501506,35.12060475271778,37.99486310596767,0.10274035812502286
강남구,대치1동,11230600.0,2,1,1,4719.528249437857,584.7852440164808,23.448938950316148,24.684131553516075,0.08378593987029068
강남구,압구정동,11230770.0,2,1,1,2396.280663777018,519.6235847975255,33.06000201112755,37.80038199189765,0.10396006157006928
강서구,발산1동,11160670.0,2,1,1,2774.5828878958855,481.2973006231703,48.57157013097998,67.44985454620922,0.13485770576289124
강동구,둔촌1동,11250700.0,1,1,0,7698.544675594461,1125.4114361701359,14.088205874784336,14.088205874784336,0.1002370020075095
금천구,시흥4동,11180600.0,1,1,0,3342.2777799409887,907.4227923212352,56.16233596419636,56.16233596419636,0.2405518198255589
구로구,개봉2동,11170640.0,1,1,0,3520.268219394816,899.1700563641513,14.252895513687292,14.252895513687292,0.06570434485160416
관악구,청림동,11210540.0,1,1,0,3773.77892508662,819.11993383562,91.71511671442784,91.71511671442784,0.4647983225066181
도봉구,방학3동,11100570.0,1,1,0,3217.22068906469,807.3944456389795,28.994591218470987,28.994591218470987,0.0889549290897602
송파구,마천1동,11240550.0,1,1,0,2827.489045981208,790.5522752132897,27.355284948965846,27.355284948965846,0.12324612147544327
송파구,마천2동,11240560.0,1,1,0,2662.4443950665873,779.3928067860442,40.01057240442617,40.01057240442617,0.15714985628293326
성동구,금호1가동,11040590.0,1,1,0,3547.7358886862194,760.2112106756452,56.21345255169825,56.21345255169825,0.22483685203479972
구로구,구로4동,11170550.0,1,1,0,2948.5774185078635,748.099499671254,19.178378541143985,19.178378541143985,0.08491033997852171
노원구,월계2동,11110520.0,1,1,0,2744.903770856542,741.067700691064,24.942879791539553,24.942879791539553,0.10521339521090459
관악구,남현동,11210630.0,1,1,0,3766.9470148747814,724.8635855568373,31.125238873604275,31.125238873604275,0.14217319571249437
노원구,상계9동,11110730.0,1,1,0,3242.761881630652,720.6326761478696,31.738895122102804,31.738895122102804,0.08832907330143593
동작구,사당4동,11200660.0,1,1,0,3038.801309241591,706.7443062428728,49.94849724230454,49.94849724230454,0.12691352042262138
동작구,상도3동,11200550.0,1,1,0,3191.659658110743,706.6294583615486,40.84959912786286,40.84959912786286,0.2111403579284121
성북구,돈암1동,11080580.0,1,1,0,2903.4800131608154,703.4404052185262,90.22107725559698,90.22107725559698,0.2598205986354013
관악구,은천동,11210780.0,1,1,0,3298.4707136386933,698.5033215127164,37.85818827131794,37.85818827131794,0.21636168931736846
양천구,신월7동,11150630.0,1,1,0,2458.5288525235587,694.6565988577945,43.731617001356256,43.731617001356256,0.18567947623634506
관악구,난향동,11210710.0,1,1,0,3066.778232583778,691.7916086277481,68.5089742948382,68.5089742948382,0.2497594818391269
도봉구,쌍문3동,11100530.0,1,1,0,2733.512279776695,679.5926170082689,44.1683682520308,44.1683682520308,0.18671001097631873
