hex_id,access_cost_m0,access_cost_m3,cost_gap_m3_minus_m0,cost_gap_ratio_m3_over_m0,official_400m_ok_m0,hidden_vulnerable_final,registered_population,registered_senior_population,demand_index_final,m0_rank,m3_rank,rank_shift_m3_minus_m0,abs_rank_shift_m0_m3,m0_frozen_vulnerability,m3_under_m0_frozen_vulnerability,delta_vulnerability_m3_minus_m0,m0_frozen_vulnerable,m3_under_m0_frozen_vulnerable,new_environment_burden_vulnerable,resolved_environment_burden_vulnerable,m0_400_to_m3_over_400,diagnostic_label
8930e1c13bbffff,195.7248987684243,217.20197601654928,21.47707724812497,1.109730940637941,True,False,2024.8304427279054,408.58674157283485,0.17536070459671196,2812.0,2746.0,-66.0,66.0,0.01625459517086799,0.018038227188656268,0.001783632017788278,False,False,False,False,False,no_crossing
8930e1c13c3ffff,265.3071262542152,283.83322402483395,18.526097770618776,1.0698288735481127,True,False,963.5845562086377,201.14518032468516,0.1818765012476134,3472.0,3316.0,-156.0,156.0,0.022895957910086723,0.02449475685975308,0.001598798949666358,False,False,False,False,False,no_crossing
8930e1c13c7ffff,155.90030199355164,165.75660627786766,9.856304284316025,1.063221842153479,True,False,1577.8446470791184,335.1108029812043,0.19346069351340497,2300.0,2132.0,-168.0,168.0,0.014355426070352173,0.015263002551417916,0.000907576481065743,False,False,False,False,False,no_crossing
8930e1c13cbffff,171.01585702090767,181.7853918523943,10.769534831486624,1.0629738962169455,True,False,687.1441746390143,140.85542758285945,0.1153249452096123,2503.0,2333.0,-170.0,170.0,0.009078866679334713,0.009650598287366622,0.0005717316080319085,False,False,False,False,False,no_crossing
8930e1c13cfffff,86.11825514967163,92.00123507250989,5.88297992283826,1.0683128090857597,True,False,687.1993180962758,140.86673125905673,0.128619273634859,1235.0,1166.0,-69.0,69.0,0.005143178564524838,0.005494523539897196,0.0003513449753723575,False,False,False,False,False,no_crossing
8930e1c13dbffff,227.9185931328501,243.19129206929745,15.272698936447341,1.0670094472176086,True,False,687.1037725765261,140.84714569676186,0.10794918659818065,3149.0,2997.0,-152.0,152.0,0.011260787251383356,0.01201536638033365,0.0007545791289502932,False,False,False,False,False,no_crossing
8930e1c1403ffff,153.82790597912512,179.10739462122788,25.279488642102763,1.1643361682732212,True,False,1924.3766601370064,353.932508047301,0.14761100282799816,2275.0,2295.0,20.0,20.0,0.01064488071244209,0.01239421962045034,0.0017493389080082498,False,False,False,False,False,no_crossing
8930e1c1407ffff,314.3624991490643,355.22042037213566,40.857921223071344,1.1299707227600877,True,True,1901.0237361154614,344.67400758405006,0.19180087710506957,3762.0,3734.0,-28.0,28.0,0.02868636187431732,0.03241474906047977,0.0037283871861624462,True,True,False,False,False,hidden_vulnerable_under_m3_threshold
8930e1c140bffff,111.63715707214223,121.71078591724262,10.073628845100387,1.090235447670802,True,False,1852.5204711587107,365.48615411213297,0.14618219146912925,1618.0,1576.0,-42.0,42.0,0.007645682478349598,0.00833559405953228,0.0006899115811826824,False,False,False,False,False,no_crossing
8930e1c140fffff,58.08948516772521,63.98661719682755,5.897132029102345,1.1015180632445822,True,False,1762.879902369349,354.44478550154747,0.17563508084243437,861.0,828.0,-33.0,33.0,0.00483217949240109,0.005322732995719837,0.0004905535033187464,False,False,False,False,False,no_crossing
8930e1c1413ffff,0.0,0.0,0.0,,True,False,1966.2057792277064,353.78413646125483,0.18815900625915885,225.5,225.5,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,no_crossing
8930e1c141bffff,134.40462402241795,143.89569835827768,9.491074335859736,1.0706156830904618,True,False,1983.501146617286,357.58084565299237,0.1595224521850598,1979.0,1857.0,-122.0,122.0,0.010099732599334426,0.010812932115867433,0.0007131995165330068,False,False,False,False,False,no_crossing
8930e1c1423ffff,364.455689842398,389.44251865455647,24.98682881215848,1.0685593050364053,True,False,1657.2435320880259,294.3308406428363,0.11195024586245673,3965.0,3844.0,-121.0,121.0,0.01873438961332258,0.020018806345493228,0.001284416732170647,False,False,False,False,False,no_crossing
8930e1c1427ffff,23.697432648057486,25.152945806822753,1.4555131587652674,1.0614207108585063,True,False,2962.2230505747384,526.2710439582116,0.24909925451273726,527.0,521.0,-6.0,6.0,0.0028400599380886253,0.0030144984383667943,0.000174438500278169,False,False,False,False,False,no_crossing
8930e1c142bffff,22.887040020223793,27.125337688490518,4.238297668266725,1.185183303062415,True,False,1762.9226196614427,354.4504975856645,0.17893226895798406,521.0,527.0,6.0,6.0,0.0019415197299306965,0.002301056766480111,0.00035953703654941437,False,False,False,False,False,no_crossing
